kunnr,mart_miktar_ton,aygpay,hesnav,MRT 2026,fiil_nakliye_tl_ton,fob_tutar,ton_bası_karlılık
1001056,5.22,35721.63,5342.49,-66154.0,1744.8560786217713,,26646.08384474987
1001074,3.42,35721.63,5342.49,-32766.0,3860.651322193543,,27622.766923420484
1001128,2.28,35721.63,5342.48,-25509.0,2399.6073430301035,,27476.344762233053
1001139,7.04,35721.63,5342.49,-106000.0,,2.6364864864864868,26007.30181818181
1001142,7.21,35721.62,5342.49,-85337.0,,2.6364864864864868,29228.187669902913
1001145,35.81,35721.63,5342.49,-520017.0,,2.6364864864864868,26542.56177604021
1001160,57.17,35721.63,5342.49,-1050781.0,978.5283237771685,2.6364864864864868,21705.65464631204
1001165,0.72,35721.63,5342.49,-2496.0,914.6363942736887,,36682.816939059645
1001174,53.76,35721.67,5342.5,-930611.0,1034.1303297711106,2.6364864864864868,22719.56719999079
1001175,17.36,35721.63,5342.49,-242003.0,,2.6364864864864868,27123.85502304147
1001201,1.2,35721.63,5342.48,-12503.0,,2.6364864864864868,30644.943333333333
1001206,1.5,35721.64,5342.5,-28734.0,2832.8493960686887,,19075.29060393131
1001210,0.68,35721.62,5342.5,-10260.0,,2.6364864864864868,25975.884705882356
1001222,0.48,34907.38,4206.13,-1488.0,2312.012609990429,,33701.497390009565
1001226,6.9,35721.63,5342.49,-70860.0,,,30794.55478260869
1001234,162.94,35721.63,5342.49,-3414182.0,1747.611746904813,2.6364864864864868,18362.8934255513
1001239,4.84,35721.64,5342.5,-146521.0,,2.6364864864864868,10791.206115702476
1001244,37.0,35721.63,5342.49,-613250.0,,2.6364864864864868,24489.795675675672
1001253,7.72,35721.64,5342.48,-106703.0,,2.6364864864864868,27242.48787564766
1002021,0.24,35250.25,5385.83,-1440.0,4571.268001246479,,30064.811998753525
1002026,7.8,35250.27,5385.82,-196560.0,4002.4991663226688,,11433.590833677328
1002030,0.48,34436.0,4249.46,-2100.0,,,34310.46
1003026,4.56,35709.05,5409.99,-66305.0,5779.168400313985,,20799.301424247416
1003038,19.32,35709.05,5409.99,-249686.0,3968.912856337865,15.778000648648648,24226.421139521353
1003041,15.73,35709.05,5409.99,-34572.0,,14.640093081081083,38921.201474888745
1003053,5.04,35709.05,5409.99,-82278.0,8134.377867342249,,16659.66213265775
1003055,2.74,35709.05,5409.99,-34724.0,,8.672985945945948,28446.047299270074
1003057,89.46,35709.05,5409.99,-1583352.0,3341.5122569786595,,20078.53377923864
1003068,4.2,35709.05,5409.99,-25886.0,4174.456937000478,,30781.249729666193
1003072,6.25,35709.05,5409.99,-84848.0,3460.6060797761465,,24082.753920223855
1003078,7.3,35709.05,5409.99,-76684.0,,9.36690918918919,30614.382465753428
1003080,15.23,35709.05,5409.99,-122309.0,,16.539734324324325,33088.24551543007
1003085,16.32,35709.05,5409.99,-195577.0,2937.76385174635,,26197.391344332085
1003087,30.44,35709.05,5409.99,-540666.0,3642.1009648789254,,19715.24389714473
1003089,5.94,35709.05,5409.99,-78973.0,4332.466671773186,,23491.45548310897
1004020,2.52,36486.29,5492.49,-25200.0,10985.03115418777,,20993.748845812228
1004025,6.96,36486.29,5492.49,-260472.0,11741.645362987629,,-7187.003294022114
1004033,0.96,36486.29,5492.49,-2400.0,12473.34811882728,,27005.43188117272
1004041,2.64,35672.04,4356.13,-71400.0,12392.244699139943,,590.470755405513
